Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Elgin, Patrick Senate Committee",17028,RPM,Senate,62,2010-02-16 11:01:00.000,,0,"Elgin, Patrick",62,Senate
"Chamberlain, Roger C Senate Committee",17021,RPM,Senate,36,2010-02-08 16:06:00.000,,0,"Chamberlain, Roger C",36,Senate
"Carney Jr, Bob Gov Committee",17007,RPM,Governor,,2010-01-27 08:46:00.000,,0,"Carney Jr, Bob",,GC
"Daley, Theodore (Ted) J Senate Committee",17005,RPM,Senate,51,2010-01-25 10:05:00.000,,0,"Daley, Theodore (Ted) J",51,Senate
"Franson, Mary D House Committee",16986,RPM,House,12B,2009-12-28 10:51:00.000,,1,"Franson, Mary D",12B,House
"Housley, Karin Senate Committee",16964,RPM,Senate,33,2009-11-24 14:10:00.000,,1,"Housley, Karin",33,Senate
"O'Driscoll, Tim House Committee",16950,RPM,House,13B,2009-10-28 15:55:00.000,,1,"O'Driscoll, Tim",13B,House
"Swarm, Harley Gov Committee",16944,Other,Governor,,2009-10-12 14:49:00.000,,0,"Swarm, Harley",,GC
"Greene, Marion C House Committee",16936,DFL,House,61A,2009-09-23 15:03:00.000,,0,"Greene, Marion C",61A,House
"Anderson, Darrin House Committee",16906,RPM,House,17A,2009-06-19 16:07:00.000,,0,"Anderson, Darrin",17A,House
"Wright, Chris Gov Committee",16897,LMP,Governor,,2009-06-08 11:30:00.000,,0,"Wright, Chris",,GC
"Miller, Jeremy Senate Committee",16891,RPM,Senate,26,2009-05-15 15:45:00.000,,1,"Miller, Jeremy",26,Senate
"Anderson, Paul H House Committee",16807,RPM,House,12A,2008-07-07 00:00:00.000,,1,"Anderson, Paul H",12A,House
"Falk, Andrew J House Committee",16782,DFL,House,17A,2008-06-09 16:18:00.000,,0,"Falk, Andrew J",17A,House
"Bakk, Thomas M Gov Committee",16775,DFL,Governor,,2008-05-27 11:23:00.000,,0,"Bakk, Thomas M",,GC
"Scott, Peggy Sue House Committee",16703,RPM,House,31B,2008-02-14 14:25:00.000,,1,"Scott, Peggy Sue",31B,House
"Torkelson, Paul M House Committee",16697,RPM,House,15B,2008-02-04 00:00:00.000,,1,"Torkelson, Paul M",15B,House
"Loon, Jenifer W House Committee",16680,RPM,House,48B,2007-12-31 00:00:00.000,,0,"Loon, Jenifer W",48B,House
