original_uuids,mapped_uuid
72f25519-e336-42a3-b386-758d6ae8c9ab,72f25519-e336-42a3-b386-758d6ae8c9ab
7458ccdc-af88-4003-821b-5c8c29ba24fe,7458ccdc-af88-4003-821b-5c8c29ba24fe
7007cd3b-647b-4b58-84eb-4444c8854fcd,7007cd3b-647b-4b58-84eb-4444c8854fcd
026f07a5-f614-4e47-893f-3e0ecbb54d24,026f07a5-f614-4e47-893f-3e0ecbb54d24
85e1dada-b790-444f-8198-da860376a535,85e1dada-b790-444f-8198-da860376a535
1ae3e2f3-6d7b-41c9-8cf5-7166c914e78e,1ae3e2f3-6d7b-41c9-8cf5-7166c914e78e
4e9072af-fd52-47ac-ac41-2d6927f0cecf,4e9072af-fd52-47ac-ac41-2d6927f0cecf
35ba5846-c082-4332-a400-f741b172f04c,35ba5846-c082-4332-a400-f741b172f04c
73376403-cdb5-4ea8-88df-33701b21372c,73376403-cdb5-4ea8-88df-33701b21372c
fd3c6f89-302f-4e30-b48d-0d9d17505c5f,fd3c6f89-302f-4e30-b48d-0d9d17505c5f
e87326ef-c255-47a0-b8cc-2a82d012055a,e87326ef-c255-47a0-b8cc-2a82d012055a
cce81748-c4ce-4e9a-887f-19486642366b,cce81748-c4ce-4e9a-887f-19486642366b
504ba925-4ef5-4c07-9c1c-76df54efa11d,504ba925-4ef5-4c07-9c1c-76df54efa11d
76a60502-3f3f-4698-9b15-ce2874176755,76a60502-3f3f-4698-9b15-ce2874176755
0dcf432a-705c-40fa-bf85-87a5e0a9d559,0dcf432a-705c-40fa-bf85-87a5e0a9d559
fc7d9cca-1100-4097-808a-b049db99fde6,fc7d9cca-1100-4097-808a-b049db99fde6
